PRO_COM;COMUNE;year;n
58091;Roma;1898;9
58091;Roma;1899;5
63024;Castellammare di Stabia;1873;1
63049;Napoli;1867;1
63049;Napoli;1870;1
63049;Napoli;1873;1
63049;Napoli;1874;1
63049;Napoli;1875;2
63049;Napoli;1876;1
63049;Napoli;1879;1
63049;Napoli;1880;1
63049;Napoli;1881;1
63049;Napoli;1882;2
63049;Napoli;1884;1
63049;Napoli;1885;1
63049;Napoli;1887;1
63049;Napoli;1888;1
63049;Napoli;1890;1
63049;Napoli;1892;2
63049;Napoli;1893;2
63049;Napoli;1894;1
63049;Napoli;1895;1
63049;Napoli;1896;3
63049;Napoli;1898;4
63049;Napoli;1899;1
63058;Pompei;1890;1
64002;Altavilla Irpina;1894;1
65116;Salerno;1897;1
66098;Sulmona;1880;1
67036;Rocca Santa Maria;1866;1
67036;Rocca Santa Maria;1874;1
67036;Rocca Santa Maria;1877;3
67036;Rocca Santa Maria;1879;1
67036;Rocca Santa Maria;1880;1
67036;Rocca Santa Maria;1881;1
67036;Rocca Santa Maria;1884;1
67036;Rocca Santa Maria;1885;1
67036;Rocca Santa Maria;1887;2
67036;Rocca Santa Maria;1888;2
67036;Rocca Santa Maria;1889;7
67036;Rocca Santa Maria;1890;3
67036;Rocca Santa Maria;1892;3
67036;Rocca Santa Maria;1894;4
67036;Rocca Santa Maria;1895;7
67036;Rocca Santa Maria;1896;4
67036;Rocca Santa Maria;1897;1
67036;Rocca Santa Maria;1898;4
69022;Chieti;1895;1
69022;Chieti;1898;1
71046;San Giovanni Rotondo;1888;1
71046;San Giovanni Rotondo;1897;1
72006;Bari;1889;1
72006;Bari;1893;1
72007;Barletta;1889;1
74001;Brindisi;1869;1
80063;Reggio di Calabria;1888;1
80063;Reggio di Calabria;1895;1
82053;Palermo;1878;1
82053;Palermo;1880;1
82053;Palermo;1886;1
83048;Messina;1875;1
87006;Adrano;1873;1
88009;Ragusa;1895;1
89001;Augusta;1886;1
89017;Siracusa;1897;1
90035;La Maddalena;1891;1
91009;Bitti;1894;1
92009;Cagliari;1893;1
92009;Cagliari;1899;1
92013;Carloforte;1893;1
92033;Iglesias;1887;1
92033;Iglesias;1888;1
92050;Pula;1876;1
92050;Pula;1882;1
93033;Pordenone;1898;1
NA;NA;1850;1
NA;NA;1852;1
NA;NA;1857;1
NA;NA;1863;1
NA;NA;1866;1
NA;NA;1867;1
NA;NA;1868;1
NA;NA;1881;1
NA;NA;1886;1
NA;NA;1891;1
NA;NA;1895;1
