year;comune_code;n;location;country;lat;long;COMUNE;PRO_COM
1889;NA;1;Arezzo;NA;43,4633082000000;11,87962150000000;Arezzo;51002
1889;NA;2;Asti;NA;44,9007650000000;8,20643500000000;Asti;5005
1889;NA;1;Asti (Alessandria);NA;44,9133658000000;8,60733870000000;Alessandria;6003
1889;NA;1;Bagnoli Irpino (Avellino);NA;40,8319986000000;15,06978660000000;Bagnoli Irpino;64009
1889;NA;5;Bari;NA;41,1171432000000;16,87187150000000;Bari;72006
1889;NA;1;Belgioioso (Pavia);NA;45,1597051000000;9,31402400000000;Belgioioso;18013
1889;NA;1;Belluno;NA;46,1416375000000;12,21482610000000;Belluno;25006
1889;NA;1;Bene Lario (Como);NA;46,0289138000000;9,18525470000000;Bene Lario;13021
1889;NA;6;Berlino;NA;52,5200066000000;13,40495400000000;NA;NA
1889;NA;1;Biella (Novara);NA;45,5628842000000;8,05833970000000;Biella;2012
1889;NA;1;Birmingham;Inghilterra;52,4822694000000;-1,89000780000000;NA;NA
1889;NA;17;Bologna;NA;44,4948870000000;11,34261630000000;Bologna;37006
1889;NA;1;Bolzaneto (Genova);NA;44,4642375000000;8,89418410000000;Genova;10025
1889;NA;1;Bordighera (Porto Maurizio);NA;43,7796022000000;7,67015590000000;Bordighera;8008
1889;NA;1;Borgomanero (Novara);NA;45,6988623000000;8,46229250000000;Borgomanero;3024
1889;NA;1;Boston;S. U. d'America;42,3600825000000;-71,05888010000000;NA;NA
1889;NA;1;Boufarik;Algeria;36,5832413000000;2,91212560000000;NA;NA
1889;NA;1;Brema;Germania;53,0792962000000;8,80169370000000;NA;NA
1889;NA;1;Bremerhaven;Germania;53,5395845000000;8,58094240000000;NA;NA
1889;NA;3;Brescia;NA;45,5415526000000;10,21180190000000;Brescia;17029
1889;NA;1;Breslau;Germania;51,1092948000000;17,03860190000000;NA;NA
1889;NA;1;Brooklyn;S. U. d'America;40,6781784000000;-73,94415789999999;NA;NA
1889;NA;6;Bruxelles;Belgio;50,8476424000000;4,35716960000000;NA;NA
1889;NA;1;Buenos-Ayres;Repubblica Argentina;-34,6036844000000;-58,38155910000000;NA;NA
1889;NA;1;Busseto (Parma);NA;44,9809361000000;10,04252920000000;Busseto;34007
1889;NA;1;Busto Arsizio (Milano);NA;45,4685030000000;9,18240270000000;Milano;15146
1889;NA;1;Bâle;Svizzera;47,5595986000000;7,58857610000000;NA;NA
1889;NA;1;Caltagirone;NA;37,2371653000000;14,51339450000000;Caltagirone;87011
1889;NA;1;Caltanissetta;NA;37,4900647000000;14,06315760000000;Caltanissetta;85004
1889;NA;1;Candia - Lomellina (Pavia);NA;45,1764497000000;8,59534160000000;Candia Lomellina;18027
1889;NA;1;Carate Brianza (Milano);NA;45,4685030000000;9,18240270000000;Milano;15146
1889;NA;1;Carcina (Brescia);NA;45,6324805000000;10,19612120000000;Villa Carcina;17199
1889;NA;1;Carpi (Modena);NA;44,7839179000000;10,87971390000000;Carpi;36005
1889;NA;3;Casale Monferrato;NA;45,1349543000000;8,45063980000000;Casale Monferrato;6039
1889;NA;3;Casale Monferrato (Alessandria);NA;45,1349543000000;8,45063980000000;Casale Monferrato;6039
1889;NA;1;Casalmonferrato (Alessandria);NA;45,1349543000000;8,45063980000000;Casale Monferrato;6039
1889;NA;1;Cascante;Spagna;41,9986156000000;-1,67902030000000;NA;NA
1889;NA;1;Cascina (Pisa);NA;43,6850273000000;10,50033150000000;Cascina;50008
1889;NA;1;Casellina e Torri (Firenze);NA;43,7577728000000;11,18532090000000;Scandicci;48041
1889;NA;1;Castello sopra Lecco;NA;45,8590513000000;9,39671640000000;Lecco;13124
1889;NA;2;Castello sopra Lecco (Como);NA;45,8063817000000;9,08518670000000;Como;13075
1889;NA;1;Castello sopra Lecco (Milano);NA;45,4685030000000;9,18240270000000;Milano;15146
1889;NA;4;Catania;NA;37,5078836000000;15,08300320000000;Catania;87015
1889;NA;1;Catanzaro;NA;38,9097707000000;16,58778040000000;Catanzaro;79023
1889;NA;1;Chadwell-Heath - Essex;Inghilterra;51,5722283000000;0,14199500000000;NA;NA
1889;NA;2;Chemnitz;Germania;50,8282222000000;12,92085470000000;NA;NA
1889;NA;1;Chiaverano (Torino);NA;45,4989648000000;7,90377040000000;Chiaverano;1077
1889;NA;2;Chicago;S. U. d'America;41,8781136000000;-87,62979820000000;NA;NA
1889;NA;1;Chicago - Illinois;S. U. d'America;41,8781136000000;-87,62979820000000;NA;NA
1889;NA;1;Chieti;NA;42,3479367000000;14,16364120000000;Chieti;69022
1889;NA;1;Chiswick;Inghilterra;51,4876272000000;-0,26717320000000;NA;NA
1889;NA;1;Civitanova - Marche (Macerata);NA;43,3071211000000;13,72824190000000;Civitanova Marche;43013
1889;NA;3;Civitavecchia;NA;42,0923122000000;11,79553190000000;Civitavecchia;58032
1889;NA;1;Civitella di Romagna;NA;44,0070861000000;11,94126810000000;Civitella di Romagna;40009
1889;NA;1;Coggiola (Novara);NA;45,4467749000000;8,61686960000000;Novara;3106
1889;NA;2;Colonia;Germania;50,9375310000000;6,96027860000000;NA;NA
1889;NA;1;Como;NA;45,8063817000000;9,08518670000000;Como;13075
1889;NA;2;Conegliano (Treviso);NA;45,8890423000000;12,30055720000000;Conegliano;26021
1889;NA;2;Copenhagen;Danimarca;55,6760968000000;12,56833710000000;NA;NA
1889;NA;1;Corfù;Grecia;39,6242621000000;19,92167770000000;NA;NA
1889;NA;1;Cornigliano Ligure;NA;44,4268770000000;8,87406970000000;Genova;10025
1889;NA;1;Cornigliano Ligure (Genova);NA;44,4268770000000;8,87406970000000;Genova;10025
1889;NA;2;Cremona;NA;45,1333135000000;10,02270440000000;Cremona;19036
1889;NA;1;Crespina (Pisa);NA;43,5718903000000;10,56402980000000;Crespina;50013
1889;NA;1;Cuneo;NA;44,3844766000000;7,54267110000000;Cuneo;4078
1889;NA;1;Cuorgnè (Torino);NA;45,3912639000000;7,65019270000000;Cuorgne';1098
1889;NA;1;Desenzano sul Lego (Brescia);NA;45,4698239000000;10,53653800000000;Desenzano del Garda;17067
1889;NA;1;Dolo (Venezia);NA;45,4244640000000;12,07532900000000;Dolo;27012
1889;NA;2;Dresda (Sassonia);NA;51,0504088000000;13,73726210000000;NA;NA
1889;NA;1;Dresdha-Neustadt;Germania;51,0746657000000;13,77411320000000;NA;NA
1889;NA;1;Düsseldorf ( Prussia Renana );NA;51,2230411000000;6,78245450000000;NA;NA
1889;NA;1;Eckington - Distretto di Colombia;S. U. d'America;38,9141343000000;-77,00318630000000;NA;NA
