year;location;COMUNE;lat;long;PRO_COM;comune_code;patents_austria;patents_italy;patents_together
1889;Bremerhaven;NA;53,5395845000000;8,58094240000000;NA;NA;0;1;1
1889;Brescia;Brescia;45,5415526000000;10,21180190000000;17029;NA;0;3;3
1889;Breslau;NA;51,1092948000000;17,03860190000000;NA;NA;0;1;1
1889;Brooklyn;NA;40,6781784000000;-73,94415789999999;NA;NA;0;1;1
1889;Bruxelles;NA;50,8476424000000;4,35716960000000;NA;NA;0;6;6
1889;Buenos-Ayres;NA;-34,6036844000000;-58,38155910000000;NA;NA;0;1;1
1889;Busseto (Parma);Busseto;44,9809361000000;10,04252920000000;34007;NA;0;1;1
1889;Busto Arsizio (Milano);Milano;45,4685030000000;9,18240270000000;15146;NA;3;1;4
1889;Bâle;NA;47,5595986000000;7,58857610000000;NA;NA;0;1;1
1889;Caltagirone;Caltagirone;37,2371653000000;14,51339450000000;87011;NA;0;1;1
1889;Caltanissetta;Caltanissetta;37,4900647000000;14,06315760000000;85004;NA;0;1;1
1889;Candia - Lomellina (Pavia);Candia Lomellina;45,1764497000000;8,59534160000000;18027;NA;0;1;1
1889;Carate Brianza (Milano);Milano;45,4685030000000;9,18240270000000;15146;NA;3;1;4
1889;Carcina (Brescia);Villa Carcina;45,6324805000000;10,19612120000000;17199;NA;0;1;1
1889;Carpi (Modena);Carpi;44,7839179000000;10,87971390000000;36005;NA;0;1;1
1889;Casale Monferrato;Casale Monferrato;45,1349543000000;8,45063980000000;6039;NA;0;3;3
1889;Casale Monferrato (Alessandria);Casale Monferrato;45,1349543000000;8,45063980000000;6039;NA;0;3;3
1889;Casalmonferrato (Alessandria);Casale Monferrato;45,1349543000000;8,45063980000000;6039;NA;0;1;1
1889;Cascante;NA;41,9986156000000;-1,67902030000000;NA;NA;0;1;1
1889;Cascina (Pisa);Cascina;43,6850273000000;10,50033150000000;50008;NA;0;1;1
1889;Casellina e Torri (Firenze);Scandicci;43,7577728000000;11,18532090000000;48041;NA;0;1;1
1889;Castello sopra Lecco;Lecco;45,8590513000000;9,39671640000000;13124;NA;0;1;1
1889;Castello sopra Lecco (Como);Como;45,8063817000000;9,08518670000000;13075;NA;0;2;2
1889;Castello sopra Lecco (Milano);Milano;45,4685030000000;9,18240270000000;15146;NA;3;1;4
1889;Catania;Catania;37,5078836000000;15,08300320000000;87015;NA;0;4;4
1889;Catanzaro;Catanzaro;38,9097707000000;16,58778040000000;79023;NA;0;1;1
1889;Chadwell-Heath - Essex;NA;51,5722283000000;0,14199500000000;NA;NA;0;1;1
1889;Chemnitz;NA;50,8282222000000;12,92085470000000;NA;NA;0;2;2
1889;Chiaverano (Torino);Chiaverano;45,4989648000000;7,90377040000000;1077;NA;0;1;1
1889;Chicago;NA;41,8781136000000;-87,62979820000000;NA;NA;0;2;2
1889;Chicago - Illinois;NA;41,8781136000000;-87,62979820000000;NA;NA;0;1;1
1889;Chieti;Chieti;42,3479367000000;14,16364120000000;69022;NA;0;1;1
1889;Chiswick;NA;51,4876272000000;-0,26717320000000;NA;NA;0;1;1
1889;Civitanova - Marche (Macerata);Civitanova Marche;43,3071211000000;13,72824190000000;43013;NA;0;1;1
1889;Civitavecchia;Civitavecchia;42,0923122000000;11,79553190000000;58032;NA;0;3;3
1889;Civitella di Romagna;Civitella di Romagna;44,0070861000000;11,94126810000000;40009;NA;0;1;1
1889;Coggiola (Novara);Novara;45,4467749000000;8,61686960000000;3106;NA;0;1;1
1889;Colonia;NA;50,9375310000000;6,96027860000000;NA;NA;0;2;2
1889;Como;Como;45,8063817000000;9,08518670000000;13075;NA;0;1;1
1889;Conegliano (Treviso);Conegliano;45,8890423000000;12,30055720000000;26021;NA;0;2;2
1889;Copenhagen;NA;55,6760968000000;12,56833710000000;NA;NA;0;2;2
1889;Corfù;NA;39,6242621000000;19,92167770000000;NA;NA;0;1;1
1889;Cornigliano Ligure;Genova;44,4268770000000;8,87406970000000;10025;NA;1;1;2
1889;Cornigliano Ligure (Genova);Genova;44,4268770000000;8,87406970000000;10025;NA;1;1;2
1889;Cremona;Cremona;45,1333135000000;10,02270440000000;19036;NA;0;2;2
1889;Crespina (Pisa);Crespina;43,5718903000000;10,56402980000000;50013;NA;0;1;1
1889;Cuneo;Cuneo;44,3844766000000;7,54267110000000;4078;NA;0;1;1
